Cazy_families,0_h,9_h,24_h,48_h,substrate
GH13,20,121,148,106,Starch
GH57,1,2,2,2,Starch
GH66,0,4,1,1,Starch
GH77,2,11,14,6,Starch
CBM26,0,8,10,7,Starch
CBM34,2,11,13,8,Starch
CBM41,3,23,23,21,Starch
CBM48,0,16,13,7,Starch
CBM68,1,3,3,2,Starch
GH1,0,51,64,39,PCW
GH2,0,7,6,5,PCW
GH3,4,15,14,17,PCW
GH4,0,8,6,8,PCW
GH5,0,6,4,8,PCW
GH8,0,10,7,3,PCW
GH16,0,6,5,15,PCW
GH31,0,7,7,6,PCW
GH43,0,7,6,6,PCW
GH53,0,6,4,10,PCW
CE1,1,29,34,24,PCW
CE4,7,24,22,17,PCW
GH32,1,28,33,23,Sucrose
GH70,0,9,10,8,Sucrose
GH68,0,5,5,5,Fructan
