Cazy_families,0_h,9_h,24_h,48_h,,
GH13,47.619048,27.008929,30.641822,25.665860,,
GH14,0,0.669643,0.414079,0.484262,,
GH15,0,1.562500,1.863354,0.726392,,
GH57,2.380952,0.446429,0.414079,0.484262,,
GH66,0,0.892857,0.207039,0.242131,,
GH77,4.761905,2.455357,2.898551,1.452785,,
GH126,0,0.446429,0.414079,0,,
CBM20,0,0.669643,0.621118,0.726392,,
CBM21,0,0,0,0.242131,,
CBM26,0,1.785714,2.070393,1.694915,,
CBM34,4.761905,2.455357,2.691511,1.937046,,
CBM41,7.142857,5.133929,4.761905,5.084746,,
CBM48,0,3.571429,2.691511,1.694915,,
CBM68,2.380952,0.669643,0.621118,0.484262,,
GH1,0,11.383929,13.250518,9.443099,,
GH2,0,1.562500,1.242236,1.210654,,
GH3,9.523810,3.348214,2.898551,4.116223,,
GH4,0,1.785714,1.242236,1.937046,,
GH5,0,1.339286,0.828157,1.937046,,
GH6,0,0,0,0.968523,,
GH7,0,0,0,0.726392,,
GH8,0,2.232143,1.449275,0.726392,,
GH9,0,0.223214,0.207039,0,,
GH10,0,0.223214,0,0.484262,,
GH11,0,0,0,0.242131,,
GH16,0,1.339286,1.035197,3.631961,,
GH17,0,0,0,0.484262,,
GH28,0,0.223214,0.414079,0.484262,,
GH30,0,0,0,0.484262,,
GH31,0,1.562500,1.449275,1.452785,,
GH43,0,1.562500,1.242236,1.452785,,
GH45,0,0,0,0.242131,,
GH53,0,1.339286,0.828157,2.421308,,
GH55,0,0,0,0.968523,,
GH115,0,0,0,0.242131,,
GH120,0,0.223214,0.207039,0,,
GH128,0,0,0,0.726392,,
GH132,0,0,0,0.242131,,
GH142,0,0,0,0.242131,,
GH93,0,0,0,0.242131,,
GH94,0,0.446429,0.414079,0.484262,,
GH71,0,0,0,0.726392,,
GH72,0,0,0,0.968523,,
CE1,2.380952,6.473214,7.039337,5.811138,,
CE3,0,0.446429,0.207039,0.484262,,
CE4,16.666667,5.357143,4.554865,4.116223,,
CE5,0,0,0,0.484262,,
CE7,0,0.446429,0.414079,0.484262,,
CE8,0,0.446429,0.207039,0.484262,,
CE15,0,0,0,0.242131,,
CE16,0,0,0,0.242131,,
CBM1,0,0,0,0.242131,,
GH32,2.380952,6.250000,6.832298,5.569007,,
GH70,0,2.008929,2.070393,1.937046,,
GH68,0,1.116071,1.035197,1.210654,,
CBM66,0,0.892857,0.621118,0.484262,,
