CAZyme	Exiguobacterium sp902362975	Streptococcus ferus	Enterococcus italicus	Streptococcus infantarius	Rothia	Leuconostoc sp900554745	Limosilactobacillus fermentum	Lactobacillus delbrueckii	Lactococcus garvieae	Anoxybacillus	Weissella confusa
CBM20	0	0	0	0	0	0	0	0	0	0	1
CBM26	0	0	0	2	0	0	0	0	0	0	0
CBM34	1	1	1	0	0	1	0	1	1	1	2
CBM41	3	4	0	4	0	0	0	0	0	0	0
CBM48	0	2	1	0	0	0	0	1	1	0	0
CBM68	0	0	0	0	0	0	0	0	0	0	1
GH125	0	0	0	0	0	0	0	0	0	1	0
GH13	13	7	6	6	9	7	0	9	4	7	9
GH15	0	0	0	0	2	0	0	0	0	0	0
GH166	1	0	0	0	0	0	0	0	0	0	0
GH42	0	0	1	0	0	0	0	0	0	0	1
GH57	1	0	0	0	0	0	0	0	0	0	0
GH66	0	0	1	0	0	0	0	0	0	0	0
GH77	0	1	1	2	0	0	0	0	0	0	0
CBM61	0	0	1	0	0	0	0	0	0	0	0
CE1	0	1	0	0	0	1	0	0	0	1	0
CE4	2	0	1	0	0	1	0	0	0	1	4
GH1	1	4	2	2	1	4	0	2	2	5	0
GH10	0	0	1	0	0	0	0	0	0	0	0
GH120	0	0	0	0	0	0	0	0	1	0	0
GH16	0	2	0	0	1	0	0	0	0	0	0
GH2	0	0	0	0	0	1	1	1	0	0	0
GH3	1	0	1	0	0	0	0	0	0	0	0
GH31	1	0	1	0	0	0	0	1	1	0	0
GH4	0	0	0	0	0	0	0	0	1	0	0
GH43	0	0	0	0	1	1	0	0	2	0	0
GH53	0	0	1	0	0	0	0	2	0	0	0
GH5	0	0	0	1	0	0	0	0	0	0	0
GH8	0	1	0	0	0	0	0	0	2	0	0
GH32	1	1	1	2	2	1	1	2	0	0	1
GH36	0	0	0	1	0	1	1	0	0	0	1
GH70	0	1	1	0	0	1	2	0	1	0	0
GH68	0	1	0	1	1	0	0	0	0	0	0
