Cazy_families,0_h,9_h,24_h,48_h,substrate
GH13,20,121,148,106,Starch
GH14,0,3,2,2,Starch
GH15,0,7,9,3,Starch
GH31,0,7,7,6,Starch
GH57,1,2,2,2,Starch
GH77,2,11,14,6,Starch
GH126,0,2,2,0,Starch
CBM20,0,3,3,3,Starch
CBM21,0,0,0,1,Starch
CBM26,0,8,10,7,Starch
CBM34,2,11,13,8,Starch
CBM41,3,23,23,21,Starch
CBM48,0,16,13,7,Starch
CBM68,1,3,3,2,Starch
GH1,0,51,64,39,PCW
GH2,0,7,6,5,PCW
GH3,4,15,14,17,PCW
GH4,0,8,6,8,PCW
GH5,0,6,4,8,PCW
GH6,0,0,0,4,PCW
GH7,0,0,0,3,PCW
GH8,0,10,7,3,PCW
GH9,0,1,1,0,PCW
GH10,0,1,0,2,PCW
GH11,0,0,0,1,PCW
GH16,0,6,5,15,PCW
GH17,0,0,0,2,PCW
GH28,0,1,2,2,PCW
GH30,0,0,0,2,PCW
GH43,0,7,6,6,PCW
GH45,0,0,0,1,PCW
GH53,0,6,4,10,PCW
GH55,0,0,0,4,PCW
GH115,0,0,0,1,PCW
GH120,0,1,1,0,PCW
GH128,0,0,0,3,PCW
GH132,0,0,0,1,PCW
GH142,0,0,0,1,PCW
GH93,0,0,0,1,PCW
GH94,0,2,2,2,PCW
GH71,0,0,0,3,PCW
GH72,0,0,0,4,PCW
CE1,1,29,34,24,PCW
CE3,0,2,1,2,PCW
CE4,7,24,22,17,PCW
CE5,0,0,0,2,PCW
CE7,0,2,2,2,PCW
CE8,0,2,1,2,PCW
CE15,0,0,0,1,PCW
CE16,0,0,0,1,PCW
CBM1,0,0,0,1,PCW
GH32,1,28,33,23,Sucrose
GH70,0,9,10,8,Sucrose
GH68,0,5,5,5,Levan
CBM66,0,4,3,2,Levan
GH36,0,7,9,6,Other 
GH103,0,6,6,1,Other 
GH102,0,2,3,0,Other 
GH105,0,0,1,1,Other 
GH109,1,6,6,6,Other 
GH113,0,0,1,0,Other 
GH114,0,1,1,2,Other 
GH125,0,0,0,2,Other 
GH131,0,0,0,2,Other 
GH135,0,0,0,1,Other 
GH146,0,1,0,0,Other 
GH153,0,0,0,1,Other 
GH166,0,1,1,1,Other 
GH18,0,3,1,6,Other 
GH20,1,3,2,1,Other 
GH23,2,27,25,7,Other 
GH24,0,1,3,0,Other 
GH25,0,24,32,22,Other 
GH26,0,0,0,1,Other 
GH33,0,1,1,0,Other 
GH35,0,0,0,1,Other 
GH37,0,2,6,1,Other 
GH38,0,1,1,2,Other 
GH42,0,4,3,3,Other 
GH47,0,0,0,5,Other 
GH54,0,0,0,1,Other 
GH65,2,6,12,8,Other 
GH66,0,4,1,1,Other 
GH73,2,32,41,33,Other 
GH76,0,2,4,11,Other 
GH78,0,0,0,1,Other 
GH79,0,0,0,1,Other 
GH88,0,1,0,0,Other 
GH92,0,0,0,1,Other 
CBM13,0,0,0,1,Other 
CBM24,0,0,0,2,Other 
CBM38,0,0,0,1,Other 
CBM42,0,0,0,1,Other 
CBM43,0,0,0,1,Other 
CBM50,6,14,17,13,Other 
CBM61,0,1,0,0,Other 
CBM87,0,0,0,1,Other 
CE11,0,3,6,1,Other 
CE14,2,8,15,6,Other 
CE18,0,0,0,1,Other 
CE9,2,16,18,14,Other 
GT1,0,2,4,1,Other 
GT101,0,1,5,0,Other 
GT11,0,3,1,1,Other 
GT111,0,10,12,12,Other 
GT14,0,3,5,3,Other 
GT15,0,0,0,5,Other 
GT17,0,1,2,1,Other 
GT19,0,3,5,0,Other 
GT20,1,3,3,2,Other 
GT21,0,0,0,1,Other 
GT22,0,0,0,4,Other 
GT24,0,0,0,1,Other 
GT25,0,2,1,0,Other 
GT26,4,7,7,3,Other 
GT27,0,1,2,1,Other 
GT28,4,15,26,14,Other 
GT2_Chitin_synth_1,0,0,0,2,Other 
GT2_Chitin_synth_2,0,0,0,5,Other 
GT2_Glyco_tranf_2_3,0,9,9,9,Other 
GT2_Glyco_tranf_2_4,0,3,1,1,Other 
GT2_Glyco_trans_2_3,1,3,3,7,Other 
GT2_Glycos_transf_2,10,165,169,117,Other 
GT30,0,6,5,1,Other 
GT32,0,4,4,6,Other 
GT33,0,0,0,1,Other 
GT34,0,0,0,1,Other 
GT35,3,17,22,12,Other 
GT39,0,3,4,4,Other 
GT4,7,122,121,98,Other 
GT5,3,14,19,7,Other 
GT50,0,0,0,1,Other 
GT51,9,51,59,34,Other 
GT55,0,0,0,2,Other 
GT56,0,5,4,0,Other 
GT57,0,0,0,3,Other 
GT58,0,0,0,1,Other 
GT62,0,0,0,3,Other 
GT69,0,0,0,1,Other 
GT71,0,0,0,1,Other 
GT8,0,15,15,10,Other 
GT81,0,3,5,2,Other 
GT83,0,3,2,1,Other 
GT87,0,5,6,2,Other 
GT9,0,12,13,0,Other 
GT90,0,0,0,2,Other 
PL12,0,4,5,1,Other 
PL1_6,0,1,1,1,Other 
PL20,0,0,0,1,Other 
PL22,0,1,0,0,Other 
PL22_1,0,1,0,0,Other 
PL3_2,0,0,0,1,Other 
PL4_1,0,0,0,1,Other 
PL9,0,2,2,2,Other 
PL9_2,0,0,1,0,Other 
SLH,2,1,1,0,Other 
AA10,,,1,,Other 
AA11,0,0,0,3,Other 
AA12,0,0,0,2,Other 
AA13,0,0,0,1,Other 
AA1,0,0,0,7,Other 
AA2,1,0,0,1,Other 
AA3,0,4,9,2,Other 
AA4,1,4,7,5,Other 
AA5,0,0,0,1,Other 
AA6,0,6,6,4,Other 
AA7,1,3,5,9,Other 
AA8,0,0,0,1,Other 
AA9,0,0,0,12,Other 
