Function,h-0,h-9,h-24,h-48
Carbohydrate metabolism,852,5107,6191,3647
Energy metabolism,257,1465,1625,973
Lipid metabolism,143,941,1020,704
Nucleotide metabolism,330,1909,2222,1389
Amino acid metabolism,451,2892,3069,1834
Metabolism of other amino acids,87,516,573,313
Glycan biosynthesis and metabolism,88,761,803,423
Metabolism of cofactors and vitamins,392,2054,2227,1110
Metabolism of terpenoids and polyketides,50,328,347,208
Biosynthesis of other secondary metabolites,8,53,34,23
Xenobiotics biodegradation and metabolism,15,185,188,120
Genetic information processing,894,4324,5020,3465
Environmental information processing,486,4463,4423,2287
Cellular processes,206,1318,1236,521
Organismal systems,31,118,147,101
Human diseases,33,261,267,74
Protein families: metabolism,198,1253,1265,841
Protein families: genetic information processing,919,5757,6191,3568
Protein families: signaling and cellular processes,662,5231,5399,3029
Unclassified: metabolism,352,2478,2603,1538
Unclassified: genetic information processing,282,1423,1537,1175
Unclassified: signaling and cellular processes,208,973,1073,593
Unclassified,239,1846,1999,1111
