Bin	Anoxybacillus	Enterococcus italicus	Exiguobacterium sp902362975	Lactobacillus delbrueckii	Lactococcus garvieae	Leuconostoc sp900554745	Limosilactobacillus fermentum	Rothia	Streptococcus ferus	Streptococcus infantarius	Weissella confusa
elfamycin	1	2	1	1	1	1	0	0	0	0	1
fosfomycin	0	0	1	0	0	0	0	0	0	0	0
fluoroquinolone	0	3	1	0	0	0	0	0	3	1	1
macrolide	0	2	0	1	0	0	0	0	1	0	0
peptide	0	0	0	0	0	0	0	0	1	0	0
rifamycin	0	3	0	0	1	1	1	0	1	1	1
fusidic acid	1	1	0	1	1	1	0	0	0	0	0
disinfecting agents and antiseptics	1	1	0	0	0	0	0	0	0	0	0
cephalosporin	0	0	0	0	0	0	0	0	0	1	0
streptogramin	1	0	0	0	0	0	0	0	1	0	0
lincosamide	1	0	0	0	0	0	0	0	0	0	0
isoniazid	0	0	0	0	0	0	0	0	0	0	1
Para-aminosalicylic acid	0	0	0	0	0	0	0	0	0	0	1
