Taxonomy	h.0	h.9	h.24	h.48
Corynebacterium	1.957185	0.625773	0.545569	0.407896
Microbacterium	12.586191	0.452678	0.27637	0.303677
Micrococcus	1.432078	0.629768	1.269778	0.843859
Rothia	1.057764	0.833817	0.611517	0.463053
Cutibacterium	4.057246	0.02864	0.032981	0.027871
Chryseobacterium	1.221077	0.128859	0.123084	0.247328
Epilithonimonas	4.633907	0.408151	0.269161	0.547144
Anoxybacillus	8.170465	0.402953	0.471514	0.354952
Neobacillus	1.590972	0.085562	0.095608	0.075502
Priestia	12.429137	4.113461	3.113308	3.829683
Kurthia	0.052106	0.77417	1.266558	0.510033
Exiguobacterium	12.697399	4.536428	4.652183	3.659614
Aerococcus	1.054818	1.647686	2.268426	3.83619
Enterococcus	0.257398	1.508496	1.214007	1.497521
Lactobacillus	0.034246	0.055705	0.603866	4.753772
Leuconostoc	0.186697	2.158027	1.034684	1.117539
Limosilactobacillus	0.102738	0.135711	2.485868	6.95662
Weissella	0.069413	2.762092	1.313188	1.271623
Lactococcus	0.139194	1.170561	1.788591	2.31583
Streptococcus	7.342113	57.480544	63.420048	55.55449
Paracoccus	1.123494	0.048601	0.020177	0.017894
Enterobacter	0.260713	2.493277	0.825374	0.797964
Pantoea	0.444832	5.192732	5.19202	0.35801
Acinetobacter	1.269685	7.718908	3.413088	4.810274
Pseudomonas	1.896978	0.466291	0.334718	0.106214
Other	23.932154	4.141109	3.358314	5.335447
