Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_2641_20 	Loose	33.2	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	47.58
megahit_5054_13 	Loose	29.71	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	75.22
megahit_5054_14 	Loose	30.14	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	73.23
megahit_5133_2 	Loose	32.54	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	98.37
megahit_5133_7 	Loose	23.75	pleuromutilin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	88.27
megahit_5133_16 	Loose	25.66	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	75.82
megahit_5133_20 	Loose	28.69	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	86.35
megahit_5133_26 	Loose	23.65	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	92.22
megahit_5133_36 	Loose	28.12	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	103.73
megahit_5133_69 	Loose	28.71	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	97.78
megahit_5133_71 	Loose	32.7	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	96.18
megahit_9656_2 	Loose	35.32	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	103.50
megahit_11285_6 	Loose	62.16	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.25
megahit_15064_5 	Loose	44.64	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	92.45
megahit_15516_4 	Loose	27.47	aminoglycoside antibiotic	antibiotic efflux	kdpDE	106.67
megahit_15736_5 	Loose	31.4	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	NmcA beta-lactamase	100.00
