Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_2352_4 	Loose	32.24	glycopeptide antibiotic	antibiotic target alteration	Van ligase	107.41
megahit_2352_31 	Loose	31.44	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	138.14
megahit_2352_32 	Loose	45.65	macrolide antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	103.07
megahit_2352_36 	Loose	38.71	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.99
megahit_6862_3 	Loose	29.96	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	120.54
megahit_6862_4 	Loose	27.95	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	135.27
megahit_7962_13 	Loose	31.54	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	98.45
megahit_11308_13 	Loose	29.71	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	93.71
megahit_11308_21 	Loose	29.03	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	124.74
megahit_11308_22 	Loose	28.71	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	87.46
megahit_11308_25 	Loose	30.67	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	105.56
megahit_11890_11 	Loose	38.67	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	48.77
megahit_13650_3 	Loose	34.02	aminocoumarin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	46.34
megahit_13650_4 	Loose	30.96	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	46.91
megahit_14457_1 	Loose	25.61	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	74.61
megahit_14894_1 	Loose	25.81	fluoroquinolone antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	80.38
megahit_15635_8 	Loose	33.33	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	94.00
megahit_15793_15 	Loose	28.43	streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	vga-type ABC-F protein	40.19
megahit_15793_17 	Loose	41.78	pleuromutilin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	96.60
megahit_15903_9 	Loose	32.31	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	94.68
megahit_15903_10 	Loose	39.09	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.57
megahit_15903_39 	Loose	45.1	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	89.09
megahit_16538_4 	Loose	34.39	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	57.56
megahit_16538_6 	Loose	27.87	bicyclomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	96.77
megahit_16566_19 	Loose	28.22	aminocoumarin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	93.50
megahit_16566_20 	Loose	27.07	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.13
megahit_16935_2 	Loose	34.53	aminoglycoside antibiotic	antibiotic efflux	kdpDE	105.78
megahit_16935_3 	Loose	28.66	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	60.31
megahit_19741_9 	Loose	33.03	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	169.28
megahit_19741_17 	Loose	29.39	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	43.35
megahit_19741_24 	Loose	36.75	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	103.66
megahit_19741_28 	Loose	28.99	fusidic acid	antibiotic target alteration	antibiotic resistant fusA	72.58
megahit_19741_39 	Loose	36.36	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.66
megahit_21657_26 	Loose	31.37	aminoglycoside antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	100.95
megahit_21657_28 	Loose	31.92	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	32.14
megahit_21657_38 	Loose	26.0	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	86.59
megahit_21657_42 	Loose	30.45	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	154.26
megahit_21657_49 	Loose	24.11	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	106.37
megahit_23392_2 	Loose	36.92	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	91.98
megahit_25136_16 	Loose	36.49	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	64.59
megahit_26789_5 	Loose	29.46	pleuromutilin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	83.33
megahit_27963_7 	Loose	30.94	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	69.39
megahit_27963_8 	Loose	26.96	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00
megahit_27963_18 	Loose	28.01	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	90.82
megahit_27963_29 	Loose	31.06	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	96.93
megahit_27963_45 	Loose	31.42	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	48.64
megahit_27963_59 	Loose	31.48	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	90.56
megahit_28328_15 	Loose	25.8	peptide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	68.92
megahit_28328_22 	Loose	29.73	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	136.05
megahit_28328_23 	Loose	23.91	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	96.01
megahit_28520_3 	Loose	30.48	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	80.72
megahit_28520_13 	Loose	41.61	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	101.22
megahit_28520_32 	Loose	30.22	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	98.14
megahit_28520_41 	Loose	28.45	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	73.37
megahit_28882_2 	Loose	40.82	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	100.00
megahit_33999_8 	Loose	67.29	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	101.78
megahit_34570_1 	Loose	34.16	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	36.00
megahit_34957_2 	Loose	34.32	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	96.35
megahit_34957_3 	Loose	48.44	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	99.13
megahit_36165_16 	Loose	25.1	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	95.19
