Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_2132_2 	Loose	36.32	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	96.79
megahit_5461_1 	Loose	37.67	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	38.01
megahit_5461_6 	Loose	30.19	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	112.55
megahit_8359_3 	Loose	20.11	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	98.00
megahit_13044_2 	Loose	32.16	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	39.29
megahit_13044_12 	Loose	42.56	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	103.11
megahit_13044_16 	Loose	35.79	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	105.83
megahit_14035_9 	Loose	28.46	penam	antibiotic target replacement	methicillin resistant PBP2	118.70
megahit_14035_18 	Loose	28.02	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	74.62
megahit_14947_32 	Loose	33.49	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	148.40
megahit_14947_37 	Loose	35.68	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	35.71
megahit_17326_4 	Loose	42.4	rifamycin antibiotic	antibiotic inactivation	rifampin ADP-ribosyltransferase (Arr)	105.33
megahit_17326_9 	Loose	29.37	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	89.63
megahit_19434_2 	Loose	50.85	macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	97.66
megahit_19434_5 	Loose	49.34	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	97.43
megahit_21906_1 	Loose	38.37	glycopeptide antibiotic	antibiotic target alteration	vanZ; glycopeptide resistance gene cluster	55.90
megahit_21906_2 	Loose	24.24	carbapenem	antibiotic inactivation	CRD3 beta-lactamase	185.48
megahit_21906_5 	Loose	29.52	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	99.47
megahit_21906_12 	Loose	35.83	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	92.76
megahit_21906_15 	Loose	50.73	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	60.99
megahit_23457_1 	Loose	45.71	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	6.33
megahit_23457_5 	Loose	37.67	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.57
megahit_23457_6 	Loose	21.9	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	125.21
megahit_23457_7 	Loose	53.06	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	10.98
megahit_23589_8 	Loose	23.17	fluoroquinolone antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	89.66
megahit_23589_28 	Loose	23.39	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	101.24
megahit_23589_31 	Loose	24.27	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	76.09
megahit_23589_37 	Loose	32.08	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	61.49
megahit_24369_2 	Loose	28.88	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.76
megahit_25487_6 	Loose	48.28	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	98.71
megahit_25487_7 	Loose	29.59	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	188.59
megahit_25487_11 	Loose	37.44	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	35.09
megahit_25672_9 	Loose	24.87	nitroimidazole antibiotic	antibiotic target alteration	Antibiotic resistant Helicobacter pylori nitroreductase	96.67
megahit_25672_16 	Loose	36.52	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase	106.88
megahit_25672_39 	Loose	38.46	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	65.05
megahit_25672_55 	Loose	25.12	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	94.64
megahit_26096_4 	Loose	29.19	fusidic acid	antibiotic target alteration	antibiotic resistant fusA	75.47
megahit_26096_6 	Loose	31.19	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	120.54
megahit_26096_7 	Loose	31.17	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	54.81
megahit_27936_5 	Loose	38.04	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	31.20
megahit_27936_6 	Loose	27.52	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	34.97
megahit_28558_1 	Loose	36.32	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	32.30
megahit_28558_7 	Loose	34.23	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	80.39
megahit_30958_3 	Loose	35.61	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	136.50
megahit_31159_2 	Loose	30.12	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	102.64
megahit_35651_1 	Loose	30.0	fluoroquinolone antibiotic	antibiotic target protection	quinolone resistance protein (qnr)	94.50
megahit_35755_16 	Loose	29.04	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	89.08
megahit_35755_27 	Loose	49.78	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	105.48
megahit_35755_28 	Loose	29.2	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	109.98
megahit_35755_30 	Loose	33.77	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.96
megahit_35755_34 	Loose	36.29	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.96
megahit_38634_2 	Loose	30.77	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	88.37
megahit_40216_6 	Loose	25.53	glycylcycline; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	127.70
megahit_40216_7 	Loose	43.7	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	56.71
megahit_40216_10 	Loose	41.97	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	101.87
megahit_40216_19 	Loose	29.58	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanK	92.80
megahit_44455_3 	Loose	31.2	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.12
megahit_45753_3 	Loose	56.9	fosfomycin	antibiotic target alteration	antibiotic-resistant murA transferase	101.43
megahit_45753_11 	Loose	29.13	carbapenem; cephalosporin; penam	antibiotic inactivation	PNGM beta-lactamase	80.31
megahit_45753_23 	Loose	50.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	99.25
megahit_46785_4 	Loose	27.27	lincosamide antibiotic	antibiotic target alteration	Llm 23S ribosomal RNA methyltransferase	109.06
megahit_50252_1 	Loose	25.36	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	61.52
megahit_52543_7 	Loose	77.69	disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	98.73
megahit_52543_13 	Loose	36.48	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	99.75
megahit_54551_4 	Loose	29.81	carbapenem	antibiotic inactivation	CAR beta-lactamase	60.82
megahit_54664_7 	Loose	30.99	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	155.04
megahit_57431_25 	Loose	28.03	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.86
megahit_57431_41 	Loose	32.58	carbapenem	antibiotic inactivation	SPG beta-lactamase	94.74
megahit_57431_42 	Loose	29.17	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	128.26
megahit_57431_43 	Loose	42.86	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	100.43
