Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_4546_7 	Loose	25.68	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	330.68
megahit_5432_2 	Loose	38.12	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00
megahit_5432_8 	Loose	31.51	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	97.66
megahit_5432_9 	Loose	49.33	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	99.13
megahit_8137_2 	Loose	30.13	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.13
megahit_8137_9 	Loose	42.76	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	92.61
megahit_8137_16 	Loose	26.96	carbapenem; cephalosporin; cephamycin; penam; penem	antibiotic inactivation	KHM beta-lactamase	231.95
megahit_8137_25 	Loose	31.8	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	151.94
megahit_9106_3 	Loose	23.33	aminoglycoside antibiotic	antibiotic inactivation	APH(2''); AAC(6')	33.61
megahit_9106_11 	Loose	25.87	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	181.78
megahit_10189_1 	Loose	29.17	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	64.84
megahit_10189_5 	Loose	34.65	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	104.93
megahit_10189_17 	Loose	38.99	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	103.66
megahit_10189_21 	Loose	23.49	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	118.81
megahit_12354_12 	Loose	33.06	glycopeptide antibiotic	antibiotic target alteration	Van ligase	108.83
megahit_12354_18 	Loose	34.3	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	106.88
megahit_12354_19 	Loose	34.72	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	99.54
megahit_12407_9 	Loose	37.67	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	54.19
megahit_12407_50 	Loose	23.67	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	49.85
megahit_12746_6 	Loose	35.29	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	102.46
megahit_12746_8 	Loose	29.98	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	97.69
megahit_12746_9 	Loose	37.23	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection	msr-type ABC-F protein	195.27
megahit_12746_15 	Loose	34.47	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	102.80
megahit_12746_21 	Loose	30.85	glycylcycline; tetracycline antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	110.79
megahit_13020_4 	Loose	38.61	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	96.25
megahit_13020_8 	Loose	25.34	bicyclomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	111.44
