Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_3447_4 	Loose	33.18	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	78.76
megahit_4048_11 	Loose	35.22	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	95.35
megahit_4186_5 	Loose	24.84	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	137.26
megahit_4186_6 	Loose	35.96	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	97.87
megahit_5543_3 	Loose	35.0	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	65.27
megahit_5917_25 	Loose	26.82	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	91.11
megahit_5917_34 	Loose	28.43	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	68.12
megahit_5917_38 	Loose	29.92	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	108.43
megahit_5917_39 	Loose	52.0	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	105.02
megahit_6122_7 	Loose	30.8	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	85.37
megahit_6122_8 	Loose	37.73	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.57
megahit_6505_3 	Loose	26.56	aminocoumarin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	116.26
megahit_9073_4 	Loose	22.63	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	26.66
megahit_11495_3 	Loose	36.23	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	168.18
megahit_11717_1 	Loose	39.21	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.04
megahit_12578_3 	Loose	35.29	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	79.41
megahit_12578_9 	Loose	53.17	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	100.53
megahit_12578_14 	Loose	32.34	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	95.74
megahit_12673_15 	Loose	29.79	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux; reduced permeability to antibiotic	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	262.62
megahit_12673_16 	Loose	32.55	fosfomycin	antibiotic target alteration	antibiotic-resistant murA transferase	98.13
megahit_16030_6 	Loose	38.6	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	97.06
megahit_16054_6 	Loose	32.6	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	51.69
megahit_16194_1 	Loose	30.67	tetracycline antibiotic	antibiotic inactivation	tetracycline inactivation enzyme	61.64
megahit_17466_9 	Loose	28.89	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	67.64
megahit_17624_9 	Loose	77.54	fusidic acid	antibiotic target alteration	antibiotic resistant fusA	61.04
megahit_17906_3 	Loose	33.33	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	79.87
megahit_19271_6 	Loose	42.14	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	92.61
megahit_19712_13 	Loose	22.32	lincosamide antibiotic	antibiotic target alteration	Llm 23S ribosomal RNA methyltransferase	134.84
megahit_19712_39 	Loose	46.29	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	36.65
